"N_Policy","Company","Category","Char","Started","Expired","TK","City","District","Mark","Use","Gender","Gross","Net","Commissions","id"
"128697","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΤΡ2857","11/12/2020","11/12/2021","14233","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","MERCEDES-BENZ","ΕΙΧ","2",5,3.62,0.8,266
"32514736","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΤΡ2857","11/12/2020","11/12/2021","14233","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","MERCEDES-BENZ","ΕΙΧ","2",265.08,182.23,18.22,266
"116021","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΒΚΑ8610","07/10/2020","07/10/2021","15232","ΧΑΛΑΝΔΡΙ","ΑΤΤΙΚΗΣ","VOLKSWAGEN","ΕΙΧ","1",5,3.62,0.8,144
"32459354","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΒΚΑ8610","07/10/2020","07/10/2021","15232","ΧΑΛΑΝΔΡΙ","ΑΤΤΙΚΗΣ","VOLKSWAGEN","ΕΙΧ","1",213.41,146.54,14.65,144
"112505","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΕΤ5604","18/09/2020","18/03/2021","15341","ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","2",2.5,1.81,0.4,111
"32421973","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΕΤ5604","18/09/2020","18/03/2021","15341","ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","2",121.68,83.49,8.35,111
"71962","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΡΙΙ7149","29/12/2020","29/06/2021","41221","ΛΑΡΙΣΑ","ΛΑΡΙΣΑΣ","HONDA","ΕΙΧ","3",1.5,1,0.22,362
"62206347","ΕΘΝΙΚΗ Ασφαλιστική","ΑΥΤΟΚΙΝΗΤΟ","ΡΙΙ7149","29/12/2020","29/06/2021","41221","ΛΑΡΙΣΑ","ΛΑΡΙΣΑΣ","HONDA","ΕΙΧ","3",87.77,62.75,11.3,362
"293736","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΡΙΙ7149","29/12/2020","29/06/2021","41221","ΛΑΡΙΣΑ","ΛΑΡΙΣΑΣ","HONDA","ΕΙΧ","3",11,7.66,0.31,362
"71411","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΧΡ9172","21/03/2020","21/03/2021","17343","ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","2",5,3.62,0.8,412
"31802404","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΖΧΡ9172","21/03/2020","21/03/2021","17343","ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","2",278.53,191.24,19.12,412
"32351436","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΡΜ2859","13/07/2020","13/07/2021","19400","ΚΟΡΟΠΙ","ΑΤΤΙΚΗΣ","VOLVO","ΕΙΧ","1",258.94,177.84,17.78,553
"99962","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΡΜ2859","13/07/2020","13/07/2021","19400","ΚΟΡΟΠΙ","ΑΤΤΙΚΗΣ","VOLVO","ΕΙΧ","1",5,3.62,0.8,553
"32446255","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΗΖ5421","25/09/2020","25/03/2021","11257","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","FIAT","ΕΙΧ","1",124.61,85.53,8.55,129
"114267","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΗΖ5421","25/09/2020","25/03/2021","11257","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","FIAT","ΕΙΧ","1",2.5,1.81,0.4,129
