"N_Policy","Company","Category","Type_policy","Char","Started","Expired","City","District","Gross","Net","Commissions","id"
"7199721148","INTERASCO","аутойимгтым","аМАМщЫСГ","ифт4936","09/05/2017","09/11/2017",NA,NA,104.25,68.44,13.69,932
"59168401","ехмийг аСЖАКИСТИЙч","одийгс богхеиас","п пЯэНГ лЕТАТЯОПчР","йяб9729","03/01/2017","03/04/2017",NA,NA,0.92,0.8,0.06,557
"19013650447","имтеясакомийа","аутойимгтым","аМАМщЫСГ","йеф4636","12/10/2017","12/01/2018",NA,NA,60,40.17,8.03,557
"213581488","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","йеф4636","12/07/2017","12/10/2017",NA,NA,60,40.17,8.03,557
"59168401","ехмийг аСЖАКИСТИЙч","аутойимгтым","мщО сУЛБЭКАИО","йяб9729","03/01/2017","03/04/2017",NA,NA,63.06,44.9,10.33,557
"7190047217","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","мйя572","16/05/2017","16/05/2018","ахгма","аттийг",191.61,130.86,23.95,1128
"7199706537","INTERASCO","аутойимгтым","аМАМщЫСГ","игя4839","15/11/2017","15/05/2018",NA,NA,135.02,88.9,17.78,1755
"7199706537","INTERASCO","аутойимгтым","аМАМщЫСГ","игя4839","15/05/2017","15/11/2017",NA,NA,135.94,89.52,17.9,1755
"213521517","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","уем1898","22/06/2017","22/12/2017",NA,NA,111,75.11,15.02,1821
"19013220682","имтеясакомийа","аутойимгтым","аМАМщЫСГ","улв3441","03/01/2017","03/04/2017","аттийг","аттийг",88,59.54,11.91,1704
"19013220682","имтеясакомийа","аутойимгтым","аМАМщЫСГ","улв3441","03/10/2017","03/01/2018","аттийг","аттийг",99,66.95,13.39,1704
"19013220682","имтеясакомийа","аутойимгтым","аМАМщЫСГ","улв3441","03/07/2017","03/10/2017","аттийг","аттийг",88,59.54,11.91,1704
"19013220682","имтеясакомийа","аутойимгтым","аМАМщЫСГ","улв3441","03/04/2017","03/07/2017","аттийг","аттийг",88,59.54,11.91,1704
"19013787888","имтеясакомийа","аутойимгтым","п пЯэНГ лЕТАТЯОПчР","ибе9924","23/10/2017","23/04/2018","пеияаиыс","аттийг",24.69,16.99,3.4,94
"213718942","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","ибе9924","23/10/2017","23/04/2018","пеияаиыс","аттийг",154,103.88,20.78,94
"11559761","GENERALI","фыгс","аМАМщЫСГ",NA,"10/10/2017","10/11/2017","пеияаиас","аттийг",57.96,46.38,11.02,1776
"11559761","GENERALI","фыгс","аМАМщЫСГ",NA,"10/08/2017","10/09/2017","пеияаиас","аттийг",57.96,46.38,11.09,1776
"11559761","GENERALI","фыгс","мщО сУЛБЭКАИО",NA,"10/07/2017","10/08/2017","пеияаиас","аттийг",57.96,46.38,11.09,1776
"11559761","GENERALI","фыгс","аМАМщЫСГ",NA,"10/12/2017","10/01/2018","пеияаиас","аттийг",57.96,46.38,11.02,1776
"11559761","GENERALI","фыгс","аМАМщЫСГ",NA,"10/11/2017","10/12/2017","пеияаиас","аттийг",57.96,46.38,11.02,1776
"11559761","GENERALI","фыгс","аМАМщЫСГ",NA,"10/09/2017","10/10/2017","пеияаиас","аттийг",57.96,46.38,11.02,1776
"11600612","GENERALI","фыгс","мщО сУЛБЭКАИО",NA,"09/11/2017","09/12/2017","вакамдяи","аттийг",70.79,28.51,4.85,1168
"11600612","GENERALI","фыгс","аМАМщЫСГ",NA,"09/12/2017","09/01/2018","вакамдяи","аттийг",36.06,28.51,4.84,1168
"7199803759","INTERASCO","аутойимгтым","мщО сУЛБЭКАИО","ийе7253","11/02/2017","11/02/2018","ахгма","аттийг",185.63,121.87,24.37,1142
"4461265","имтеяалеяийам","фыгс","аМАМщЫСГ",NA,"16/06/2017","15/07/2017","йаккихеа аттийгс","аттийг",103.23,102.44,5.41,1753
"4461265","имтеяалеяийам","фыгс","аМАМщЫСГ",NA,"16/07/2017","15/08/2017","йаккихеа аттийгс","аттийг",103.23,102.44,5.41,1753
"4461265","имтеяалеяийам","фыгс","аМАМщЫСГ",NA,"16/11/2017","15/12/2017","йаккихеа аттийгс","аттийг",103.23,102.44,5.41,1753
