"N_Policy","Company","Category","Type_policy","Char","Started","Expired","City","Gross","Net","Commissions","id"
"11380184","GENERALI","фыгс","аМАМщЫСГ",NA,"25/12/2018","25/01/2019","йаисаяиамг",47.43,38,7.63,148
"11380184","GENERALI","фыгс","аМАМщЫСГ",NA,"25/06/2018","25/07/2018","йаисаяиамг",47.43,38,7.63,148
"11334282","GENERALI","фыгс","аМАМщЫСГ",NA,"22/02/2018","22/03/2018","йаисаяиамг",17.18,13.58,1.9,148
"11380184","GENERALI","фыгс","аМАМщЫСГ",NA,"25/05/2018","25/06/2018","йаисаяиамг",47.43,38,7.63,148
"11380184","GENERALI","фыгс","аМАМщЫСГ",NA,"25/08/2018","25/09/2018","йаисаяиамг",47.43,38,7.63,148
"19014035735","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","оия0692","27/04/2018","27/10/2018","йаисаяиамг",84,57.25,11.45,148
"11380184","GENERALI","фыгс","аМАМщЫСГ",NA,"25/09/2018","25/10/2018","йаисаяиамг",47.43,38,7.63,148
"11334282","GENERALI","фыгс","аМАМщЫСГ",NA,"22/01/2018","22/02/2018","йаисаяиамг",16.36,12.94,1.94,148
"11728128","GENERALI","фыгс","мщО сУЛБЭКАИО",NA,"16/11/2018","16/12/2018","йаисаяиамг",51,12.88,2.18,148
"11334282","GENERALI","фыгс","аМАМщЫСГ",NA,"22/11/2018","22/12/2018","йаисаяиамг",17.18,13.58,1.9,148
"11380184","GENERALI","фыгс","аМАМщЫСГ",NA,"25/04/2018","25/05/2018","йаисаяиамг",46.35,37.14,7.45,148
"11380184","GENERALI","фыгс","аМАМщЫСГ",NA,"25/07/2018","25/08/2018","йаисаяиамг",47.43,38,7.63,148
"11334282","GENERALI","фыгс","аМАМщЫСГ",NA,"22/12/2018","22/01/2019","йаисаяиамг",17.18,13.58,1.9,148
"19014035735","имтеясакомийа","аутойимгтым","аМАМщЫСГ","оия0692","27/10/2018","27/04/2019","йаисаяиамг",84,57.25,11.45,148
"19013793245","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фут8858","27/04/2018","27/07/2018",NA,67,45.51,9.1,754
"19013793245","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фут8858","27/07/2018","27/10/2018",NA,67,45.51,9.1,754
"19013793245","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фут8858","27/01/2018","27/04/2018",NA,67,45.51,9.1,754
"19013793245","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фут8858","27/10/2018","27/01/2019",NA,67,45.51,9.1,754
"19013121494","имтеясакомийа","аутойимгтым","аМАМщЫСГ","иов1615","14/01/2018","14/07/2018","меа иымиа",190,129.25,25.85,1703
"19013121494","имтеясакомийа","аутойимгтым","аМАМщЫСГ","иов1615","14/07/2018","14/01/2019","меа иымиа",181,123.52,24.7,1703
"2050074905","ERGO A.A.E.Z","аутойимгтым","мщО сУЛБЭКАИО","ифи5797","04/07/2018","04/01/2019","лутикгмгс",78,53.16,11.7,314
"214185282","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","бгу0932","26/09/2018","26/09/2019",NA,87,58.62,11.72,1948
"213877298","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","фуб3854","03/03/2018","03/09/2018","ахгма",127,85.77,17.15,492
"19013946233","имтеясакомийа","аутойимгтым","п пЯэНГ лЕТАТЯОПчР","фуб3854","03/03/2018","03/09/2018","ахгма",24.44,16.82,3.36,492
"19.21188301","INTERLIFE асжакистийг","аутойимгтым","аМАМщЫСГ","тга766","01/05/2018","01/11/2018","цеяайас",90.86,62.83,13.19,28
"19013690867","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уфг3348","05/02/2018","05/08/2018","цеяайас",142,96.17,19.23,28
"7190053493","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","йяе0003","24/12/2018","24/12/2019","цаиос",57.1,39.05,7.81,1851
"7190053493","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","йяе0003","24/06/2018","24/12/2018","цаиос",31.16,21.23,4.25,1851
"19013897130","имтеясакомийа","аутойимгтым","аМАМщЫСГ","аоу0003","24/07/2018","24/01/2019","лессатидос/обяиас",72,49.05,9.81,1799
"213828191","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","аоу0003","24/01/2018","24/07/2018","лессатидос/обяиас",65,44.14,8.83,1799
"4274","суметаияистийг","фыгс","аМАМщЫСГ",NA,"15/11/2018","15/11/2019","пеияаиас",441.02,383.86,65.2,692
