N_Policy,Company,Category,Char,Started,Expired,District,Gross,Net,Commissions,id
212606611,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΖΡ2746,09/09/2015,09/03/2016,ΑΤΤΙΚΗ,142,96.3,19.26,84
19012675601,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΖΡ2746,09/03/2016,09/09/2016,ΑΤΤΙΚΗ,142,96.3,19.26,84
19012675601,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΖΡ2746,09/09/2016,09/03/2017,ΑΤΤΙΚΗ,142,96.17,19.23,84
1967849,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΚΙ9519,24/07/2016,24/10/2016,ΑΤΤΙΚΗ,62.14,42.56,8.09,1342
1967849,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΚΙ9519,24/10/2016,24/01/2017,ΑΤΤΙΚΗ,62.14,42.56,8.09,1342
31619096670,ΑΓΡΟΤΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΟΝ0729,21/10/2016,21/01/2017,NA,59,40.38,8.08,1909
1964723,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΜΡ2949,05/07/2016,05/01/2017,ΑΤΤΙΚΗ,126.71,86.68,16.47,672
1990997,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΚΧΧ2099,24/10/2016,24/01/2017,ΑΤΤΙΚΗ,77.94,53.54,10.17,592
1950881,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΧΙ6123,30/04/2016,30/04/2017,ΑΧΑΪΑΣ,252.3,172.84,32.84,426
11307340,GENERALI,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΧΑ1107,23/12/2015,23/12/2016,NA,249.34,170.6,34.12,280
7119600365,INTERASCO,ΖΩΗΣ,NA,02/06/2016,02/09/2016,ΑΤΤΙΚΗ,85.29,62,14.38,1862
7119600365,INTERASCO,ΖΩΗΣ,NA,02/03/2016,02/06/2016,ΑΤΤΙΚΗ,85.29,62.01,14.26,1862
19012876355,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΗΝ9637,08/08/2016,08/02/2017,ΑΤΤΙΚΗ,138,93.5,18.7,1862
7119600365,INTERASCO,ΖΩΗΣ,NA,02/12/2016,02/03/2017,ΑΤΤΙΚΗ,85.33,62.04,14.39,1862
212807371,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΗΝ9637,08/02/2016,08/08/2016,ΑΤΤΙΚΗ,138,93.63,18.73,1862
7119600365,INTERASCO,ΖΩΗΣ,NA,02/09/2016,02/12/2016,ΑΤΤΙΚΗ,85.29,62,14.38,1862
19013037364,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΟ2671,25/11/2016,25/05/2017,ΑΤΤΙΚΗ,140,94.66,18.93,994
212968382,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΟ2671,25/05/2016,25/11/2016,ΑΤΤΙΚΗ,140,94.66,18.93,994
212608882,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΕ1349,05/09/2015,05/03/2016,ΑΤΤΙΚΗ,140,95.14,19.03,630
19012677872,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΕ1349,05/03/2016,05/09/2016,ΑΤΤΙΚΗ,140,95.14,19.03,630
19012677872,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΕ1349,05/09/2016,05/03/2017,ΑΤΤΙΚΗ,140,95.01,19,630
