N_Policy,Company,Category,Char,Started,Expired,District,Gender,Gross,Net,Commissions,id
905771,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΟΚΥ65,25/02/2023,25/05/2023,ΚΑΡΔΙΤΣΑΣ,1,5,3.48,0.16,971
562690,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΟΚΥ65,25/08/2023,25/11/2023,ΚΑΡΔΙΤΣΑΣ,1,1.25,0.91,0.22,971
32930711,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΟΚΥ65,25/02/2023,25/05/2023,ΚΑΡΔΙΤΣΑΣ,1,22.05,15.08,1.66,971
939641,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΟΚΥ65,25/08/2023,25/11/2023,ΚΑΡΔΙΤΣΑΣ,1,6,4.18,1.09,971
32930711,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΟΚΥ65,25/08/2023,25/11/2023,ΚΑΡΔΙΤΣΑΣ,1,22.82,15.6,1.72,971
586979,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΙΥΧ8188,20/09/2023,20/09/2024,ΑΤΤΙΚΗΣ,2,5,3.62,0.87,51
944786,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΙΥΧ8188,20/09/2023,20/09/2024,ΑΤΤΙΚΗΣ,2,24,16.7,4.34,51
33252183,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΙΥΧ8188,20/09/2023,20/09/2024,ΑΤΤΙΚΗΣ,2,177.54,121.57,13.37,51
457441,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΥΚΙ5524,27/03/2023,27/09/2023,ΑΤΤΙΚΗΣ,1,2.5,1.81,0.43,958
534472,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΙΝΖ8043,21/05/2023,21/11/2023,ΑΤΤΙΚΗΣ,1,2,1.45,0.19,958
960047,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΙΝΖ8043,21/11/2023,23/05/2024,ΑΤΤΙΚΗΣ,1,12.13,8.44,2.19,958
932981,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΙΝΖ8043,21/05/2023,21/11/2023,ΑΤΤΙΚΗΣ,1,11,7.66,0.31,958
32868665,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΥΚΙ5524,27/03/2023,27/09/2023,ΑΤΤΙΚΗΣ,1,71.76,48.97,5.39,958
